name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Palla,female,lowborn,1,4.22,1,Killed during the Sack of Winterfell
Ygritte,female,lowborn,1,19.7,1,Shot in the chest with an arrow by Olly at Castle Black
Quent,male,lowborn,1,11.15,1,Presumed killed prior to or during the Red Wedding at The Twins
Drennan,male,lowborn,1,1.66,1,Throat slit by Osha at Winterfell castle grounds
Jacks,male,lowborn,1,10.96,1,Presumed killed prior to or during the Red Wedding at The Twins
Torrhen Karstark,Male,highborn,1,0.34,1,Strangled to death by Jamie Lannister at a campsite near Oxcross
Bernadette,female,lowborn,1,50.16,0,NA
Lord of Bones,male,lowborn,1,25.68,1,Beaten to death with his own staff by Tormund at the shore of Hardhome
Aggar,Male,highborn,1,0.54,1,Flayed alive by Ramsay Snow
Gelmarr,male,lowborn,1,0.54,1,Flayed alive by Ramsay Snow
Urzen,male,lowborn,1,0.54,1,Flayed alive by Ramsay Snow at Winterfell
Wex,male,lowborn,1,0.56,1,Flayed alive by Ramsay Snow at Winterfell
Stygg,male,lowborn,1,0.56,1,Flayed alive by Ramsay Snow
Tormund Giantsbane,male,lowborn,2,47.05,0,NA
Mance Rayder,male,lowborn,1,17.47,1,Shot with an arrow in chest by Jon Snow before being burned alive at Castle Black (mercy killing)
Qyburn,Male,highborn,2,45.18,1,Head smashed on a rock by Gregor Clegane during the Battle of King's Landing
Missandei,female,lowborn,2,43.92,1,Decapitated by Gregor Clegane on the orders of Cersei Lannister
Kranzys mo Nakloz,Male,highborn,1,2.55,1,Burnt to death by dragon at plaza at Astapor
Jojen Reed,Male,highborn,1,15.5,1,Stabbed multiple times by a wight and throat cut by his sister Meera Reed (mercy killing) outside the cave of the Three-Eyed Raven beyond The Wall
Master Torturer,male,lowborn,1,1.49,1,Shot with arrows in chest by Ramsay Snow in the forest near the Dreadfort
Orell,male,lowborn,1,5.94,1,Stabbed by Jon Snow in the abdomen outside the old tower at Queenscrown
Meera Reed,female,highborn,1,45.87,0,NA
Thoros of Myr,male,lowborn,2,37.37,1,"Mauled by a wight bear, then froze to death during the night next to frozen lake in the mountains beyond The Wall"
Anguy,male,lowborn,1,45.84,0,NA
Ramsay Bolton,male,lowborn,1,31.18,1,Executed by being fed to his own dogs by Sansa Stark in the kennel at Winterfell
Locke,male,lowborn,1,10.89,1,Neck broken by Bran Stark who had warged into Hodor in the forest near Craster's Keep
Brynden Tully,Male,highborn,1,29.85,1,Killed while fighting Lannister and Frey soldiers
Edmure Tully,Male,highborn,2,45.45,0,NA
Olenna Tyrell,female,highborn,2,34.57,1,Drank poison provided by Jaime Lannister at Highgarden
Martyn Lannister,Male,highborn,1,1.67,1,Stabbed in the thorax by Rickard Karstark at Riverrun
Willem Lannister,Male,highborn,1,1.67,1,Stabbed to death by Rickard Karstark and his men at Riverrun
Karl Tanner,male,lowborn,1,10.61,1,Impaled through the back of the head with sword by Jon Snow at Craster's Keep
Little Sam,male,lowborn,1,45.08,0,NA
